region,fam_type,earncomp,bls_urbn,cutenure,age_ref,sex_ref,marital1,educ_ref,inclass,kids,inc,food,house,transport,utili,health,enter
3,4,1,1,2,54,1,1,11,9,0,100887,2946.6668,3872,1468,2496,576,584
2,9,1,1,1,55,2,3,13,8,0,65668.6,3813.3332,7860,2960,4192,11740.8,800
3,4,2,1,1,54,1,1,14,9,0,72573,2773.3332,11604,1600,3756,2560,824
3,5,1,1,2,62,2,1,12,8,0,69278.4,3882.6668,10037.3332,3292,2792,20598.4,1040
4,5,2,1,4,41,1,1,16,9,0,82806.8,6586.6668,27472,9872,1600,640,1380
1,1,2,1,1,55,1,1,15,9,0,121787,3380,5249.3332,2362.6668,1940,7786.6672,680
2,1,2,1,1,52,1,1,15,9,0,198273.4,4333.3332,7392,836,1520,6208,8876
3,1,2,1,1,47,1,1,13,9,0,100048,4906.6668,5604,1504,2628,2480,3597.3332
4,1,2,1,1,31,1,1,16,9,0,111591.2,9808,14244,6521.3332,2744,35264,5076
1,1,2,1,2,57,1,1,12,9,0,106729.6,3986.6668,11286.6668,5213.3332,4716,9557.3328,13048
3,1,2,1,4,27,2,1,15,9,0,75185,6933.3332,16045.3332,6473.3332,1528,71488,1424
3,1,2,1,4,31,2,1,13,5,0,20182,2600,4352,2621.3332,448,800,180
3,1,2,1,1,63,1,1,14,8,0,49536.6,3640,6516,2920,2928,5472,1288
2,1,1,1,4,57,1,1,15,3,0,13417,1213.3332,4012,2824,220,896,32
4,1,2,1,1,51,1,1,15,9,0,133699.4,7626.6668,25128,26390.6668,3572,23360,2000
3,1,2,1,1,62,2,1,13,9,0,131422,6864,25128,6737.3332,5432,11530.6672,2880
4,9,1,1,1,60,1,5,16,8,0,47669,3120,7210.6668,3612,2616,7904,352
3,1,1,1,4,27,1,1,12,3,0,14436,2946.6668,8060,1817.3332,1540,1664,864
2,9,1,1,4,46,2,3,13,7,0,39847.6,1906.6668,3456,2504,2576,7040,736
2,1,2,1,1,56,1,1,12,9,0,83774,5200,6908,800,4360,15328,512
4,1,2,1,1,45,1,1,15,9,0,103567.6,3254.6668,6520,833.3332,1416,6240,520
4,1,2,1,2,56,1,1,16,8,0,60849,11250.6668,11674.6668,6618.6668,5352,21568,6020
3,1,2,1,1,29,2,1,15,9,0,81728.4,4073.3332,4872,2300,1452,5568,156
3,1,2,1,1,60,1,1,15,9,0,74901,8560,6186.6668,5464,5128,20917.3328,2844
3,1,2,1,1,27,1,1,15,8,0,48007.6,3986.6668,13134.6668,480,2320,1600,304
2,1,2,1,1,52,1,1,11,9,0,64475.6,1265.3332,5705.3332,829.3332,1412,4442.6672,380
3,1,2,1,1,52,2,1,13,9,0,140471,6853.3332,34521.3332,3452,3140,17066.6672,1120
2,9,1,1,4,48,2,2,13,8,0,44310,1900,3908,604,628,3808,92
2,1,2,1,4,57,1,1,16,9,0,82613.6,3380,42388,3476,2072,1898.6672,460
3,1,2,1,2,56,2,1,12,5,0,20707,2013.3332,8352,7842.6668,2692,5893.3328,2628
3,1,2,1,1,28,2,1,13,8,0,53165,2513.3332,6572,580,820,2880,1264
3,1,2,1,1,54,1,1,15,9,0,123208.6,5806.6668,6292,1616,1372,6144,2596
3,1,2,1,2,58,1,1,14,8,0,56602,2860,3450.6668,626.6668,880,4800,1076
1,1,2,1,1,39,1,1,15,9,0,76887,4160,9696,1600,1172,9600,708
3,1,2,1,1,31,1,1,13,9,0,80252.4,6066.6668,3312.6668,964,1540,1760,488
1,1,1,1,1,61,1,1,15,8,0,61489,1282.6668,8336,373.3332,2120,24320,360
1,1,2,1,1,55,1,1,16,6,0,35501.6,3813.3332,17705.3332,2000,3436,4544,1960
2,1,2,1,1,54,1,1,15,9,0,85824,8666.6668,18569.3332,2266.6668,3576,8544,632
3,1,2,1,1,58,1,1,13,9,0,77315,6172,6813.3332,4592,1948,30944,480
4,1,2,2,2,62,1,1,15,8,0,52107,4086.6668,5532,3128,1872,29168,1380
3,1,2,1,1,33,1,1,14,9,0,77422,5578.6668,7365.3332,336,2160,9600,904
2,1,2,2,2,64,2,1,12,5,0,29478.4,780,1070.6668,252,740,1920,68
2,1,2,1,4,37,1,1,16,9,0,90290.4,6053.3332,10520,2874.6668,2680,6560,164
2,1,1,1,2,59,1,1,16,9,0,90867.4,3674.6668,3842.6668,1888,1480,32613.3328,520
1,1,1,1,2,63,1,1,15,8,0,51557,2340,4040,4080,2384,4021.3328,320
4,9,1,1,4,60,2,3,12,6,0,31313,2080,3920,1200,480,1280,1144
4,1,2,1,2,51,2,1,13,8,0,47728.4,4510.6668,3701.3332,5840,2728,4842.6672,1084
2,1,2,1,1,32,2,1,15,9,0,92751,4160,5785.3332,796,1608,4037.3328,1376
4,1,2,1,4,40,1,1,15,9,0,103717.6,9562.6668,11844,3788,1500,28896,624
2,9,1,1,1,51,2,3,12,1,0,5025,1300,5492,2692,1880,6558.4,448
4,1,2,1,2,63,2,1,16,9,0,90067.6,3293.3332,3976,736,756,43897.0672,228
3,1,1,1,2,58,2,1,15,9,0,95480,2392,7673.3332,1200,904,7008,604
4,1,1,2,4,31,2,1,13,7,0,43466.6,3640,7228,3342.6668,1700,1678.4,920
3,1,1,1,1,64,1,1,13,5,0,21244.4,2600,4702.6668,724,900,12160,496
3,1,2,1,4,27,1,1,15,8,0,54882.4,3640,11052,8696,1844,12528,140
3,1,2,1,2,60,1,1,15,9,0,186435,3380,5009.3332,6988,2272,2602.6672,1360
1,1,1,2,4,58,2,1,12,7,0,39755,2600,5752,480,2332,1440,1232
3,1,2,1,2,60,2,1,15,9,0,64208.8,2773.3332,4100,960,1912,21066.6672,600
3,1,2,1,1,50,2,1,15,9,0,127479.2,6413.3332,6142.6668,1596,1352,4160,868
3,1,2,1,1,57,1,1,15,9,0,118279.4,8468,21028,9386.6668,3026.6668,8213.3328,1516
3,9,1,1,2,41,2,5,13,6,0,29257,2240,2572,725.3332,880,2000,240
4,1,2,1,4,29,2,1,13,9,0,68334,5730.6668,20634.6668,2984,924,4416,1568
2,1,1,1,1,60,2,1,15,9,0,69254,5546.6668,14389.3332,5360,3680,105856,656
3,9,1,1,4,46,2,4,13,1,0,2540,1733.3332,4152,1580,1032,3152,276
4,1,2,1,1,59,2,1,12,9,0,87569.6,2998.6668,61126.6668,3996,12492,2560,644
1,1,2,1,1,57,2,1,12,9,0,77453,2478.6668,3896,2532,2980,3840,1920
1,1,2,1,2,54,1,1,12,9,0,61872.6,1040,4348,872,1156,1984,580
1,1,2,1,1,45,1,1,14,9,0,85676,2773.3332,11392,4860,3360,10538.6672,720
4,1,1,2,1,62,2,1,12,8,0,51603,1646.6668,3216,800,1192,6080,412
4,1,2,1,2,44,1,1,14,9,0,118485.6,6113.3332,39928,5269.3332,2884,8874.6672,3832
4,1,2,1,1,40,2,1,14,9,0,67484,4056,13024,3760,2796,13920,80
1,1,2,1,1,58,1,1,15,8,0,59026.8,1733.3332,11993.6668,2960,840,4736,440
4,1,2,1,1,56,2,1,15,5,0,21355,8640,7269.3332,8432,1868,1920,3608
1,9,1,1,1,52,1,4,11,9,0,84836,3120,14088,13012,3884,901.3328,556
2,1,2,1,1,50,2,1,14,9,0,69444.8,4680,5800,828,1680,10122.6672,360
3,1,2,1,2,43,1,1,11,8,0,51032,1733.3332,5971.3332,1126.6668,2612,11648,240
2,9,1,1,4,38,1,5,10,4,0,15399.2,866.6668,4200,200,1400,480,160
3,1,2,1,1,54,1,1,16,9,0,156513,1560,18029.6668,481.3332,1408,4256,1496
4,1,2,1,1,43,1,1,15,9,0,128431.6,3120,4209.3332,1200,928,6720,320
