,newid,region,fam_type,earncomp,bls_urbn,cutenure,age_ref,sex_ref,marital1,educ_ref,inclass,kids,inc,inc.a,food,house,transport,utili,health,enter
468,3081191,3,4,1,1,2,54,1,1,11,9,0,100887,122142,2946.6668,3872,1468,2496,576,584
490,2998022,2,9,1,1,1,55,2,3,13,8,0,65668.6,59616.6,3813.3332,7860,2960,4192,11740.8,800
541,3059994,3,4,2,1,1,54,1,1,14,9,0,72573,82000,2773.3332,11604,1600,3756,2560,824
544,2992562,3,5,1,1,2,62,2,1,12,8,0,69278.4,66023.4,3882.6668,10037.3332,3292,2792,20598.4,1040
560,2927343,4,5,2,1,4,41,1,1,16,9,0,82806.8,94362.8,6586.6668,27472,9872,1600,640,1380
1008,2949923,1,1,2,1,1,55,1,1,15,9,0,121787,150284,3380,5249.3332,2362.6668,1940,7786.6672,680
1011,2948643,2,1,2,1,1,52,1,1,15,9,0,198273.4,241964.4,4333.3332,7392,836,1520,6208,8876
1013,3074363,3,1,2,1,1,47,1,1,13,9,0,100048,113500,4906.6668,5604,1504,2628,2480,3597.3332
1015,2840274,4,1,2,1,1,31,1,1,16,9,0,111591.2,132322.2,9808,14244,6521.3332,2744,35264,5076
1017,2844334,1,1,2,1,2,57,1,1,12,9,0,106729.6,130083.6,3986.6668,11286.6668,5213.3332,4716,9557.3328,13048
1018,2998372,3,1,2,1,4,27,2,1,15,9,0,75185,88005,6933.3332,16045.3332,6473.3332,1528,71488,1424
1019,2927943,3,1,2,1,4,31,2,1,13,5,0,20182,20200,2600,4352,2621.3332,448,800,180
1021,3057663,3,1,2,1,1,63,1,1,14,8,0,49536.6,57190.6,3640,6516,2920,2928,5472,1288
1024,2805505,2,1,1,1,4,57,1,1,15,3,0,13417,12310,1213.3332,4012,2824,220,896,32
1027,2800145,4,1,2,1,1,51,1,1,15,9,0,133699.4,164431.4,7626.6668,25128,26390.6668,3572,23360,2000
1028,2932223,3,1,2,1,1,62,2,1,13,9,0,131422,158952,6864,25128,6737.3332,5432,11530.6672,2880
1030,2952793,4,9,1,1,1,60,1,5,16,8,0,47669,53000,3120,7210.6668,3612,2616,7904,352
1034,2924203,3,1,1,1,4,27,1,1,12,3,0,14436,14000,2946.6668,8060,1817.3332,1540,1664,864
1037,2930503,2,9,1,1,4,46,2,3,13,7,0,39847.6,44133.6,1906.6668,3456,2504,2576,7040,736
1043,3060114,2,1,2,1,1,56,1,1,12,9,0,83774,100939,5200,6908,800,4360,15328,512
1044,2808895,4,1,2,1,1,45,1,1,15,9,0,103567.6,121399.6,3254.6668,6520,833.3332,1416,6240,520
1045,2924533,4,1,2,1,2,56,1,1,16,8,0,60849,66723,11250.6668,11674.6668,6618.6668,5352,21568,6020
1047,2867984,3,1,2,1,1,29,2,1,15,9,0,81728.4,94995.4,4073.3332,4872,2300,1452,5568,156
1052,2924333,3,1,2,1,1,60,1,1,15,9,0,74901,88004,8560,6186.6668,5464,5128,20917.3328,2844
1053,3057782,3,1,2,1,1,27,1,1,15,8,0,48007.6,51894.6,3986.6668,13134.6668,480,2320,1600,304
1055,2869834,2,1,2,1,1,52,1,1,11,9,0,64475.6,73448.6,1265.3332,5705.3332,829.3332,1412,4442.6672,380
1059,2799695,3,1,2,1,1,52,2,1,13,9,0,140471,170000,6853.3332,34521.3332,3452,3140,17066.6672,1120
1060,3069184,2,9,1,1,4,48,2,2,13,8,0,44310,50000,1900,3908,604,628,3808,92
1063,3075934,2,1,2,1,4,57,1,1,16,9,0,82613.6,95181.6,3380,42388,3476,2072,1898.6672,460
1064,2811805,3,1,2,1,2,56,2,1,12,5,0,20707,20760,2013.3332,8352,7842.6668,2692,5893.3328,2628
1065,2872714,3,1,2,1,1,28,2,1,13,8,0,53165,61000,2513.3332,6572,580,820,2880,1264
1069,3077962,3,1,2,1,1,54,1,1,15,9,0,123208.6,153084.6,5806.6668,6292,1616,1372,6144,2596
1078,2868794,3,1,2,1,2,58,1,1,14,8,0,56602,62000,2860,3450.6668,626.6668,880,4800,1076
1080,2997902,1,1,2,1,1,39,1,1,15,9,0,76887,87406,4160,9696,1600,1172,9600,708
1082,2875404,3,1,2,1,1,31,1,1,13,9,0,80252.4,92969.4,6066.6668,3312.6668,964,1540,1760,488
1085,2990032,1,1,1,1,1,61,1,1,15,8,0,61489,68852,1282.6668,8336,373.3332,2120,24320,360
1088,2925043,1,1,2,1,1,55,1,1,16,6,0,35501.6,37681.6,3813.3332,17705.3332,2000,3436,4544,1960
1089,2931243,2,1,2,1,1,54,1,1,15,9,0,85824,102000,8666.6668,18569.3332,2266.6668,3576,8544,632
1090,2838174,3,1,2,1,1,58,1,1,13,9,0,77315,87000,6172,6813.3332,4592,1948,30944,480
1092,3051571,4,1,2,2,2,62,1,1,15,8,0,52107,54000,4086.6668,5532,3128,1872,29168,1380
